Protein Name	Organism	UniProtKB Accession
Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6G4
Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-specific-processing protease 16)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6X7
Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7U3
NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R834
Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R854
RNA-binding protein 4 (RNA-binding motif protein 4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R979
Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R9A9
Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R9D1
Ras-related protein Rap-1b (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R9D4
Solute carrier family 22 member 6 (Organic anion transporter 1) (mkOAT1) (Renal organic anion transporter 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4W8A3
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.-) (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPR hydrolase 1) (CD antigen CD38)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q5VAN0
Integral membrane protein 2B (Immature BRI2) (imBRI2) (Transmembrane protein BRI) (Bri) [Cleaved into: BRI2, membrane form (Mature BRI2) (mBRI2); BRI2 intracellular domain (BRI2 ICD); BRI2C, soluble form; Bri23 peptide (Bri2-23) (ABri23) (C-terminal peptide) (P23 peptide)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HC1
ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HD9
Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog A) (MRE11 homolog A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HE6
General transcription and DNA repair factor IIH helicase/translocase subunit XPB (TFIIH subunit XPB) (EC 5.6.2.4) (DNA 3'-5' helicase/translocase XPB) (DNA excision repair protein ERCC-3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HG1
Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HH4
Prostaglandin E synthase (EC 5.3.99.3) (Glutathione peroxidase PTGES) (EC 1.11.1.-) (Glutathione transferase PTGES) (EC 2.5.1.18) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6PWL6
Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q864R9
Kidney mitochondrial carrier protein 1 (Solute carrier family 25 member 30)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXE3
Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial (Solute carrier family 25 member 13)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXW2
Presenilin-1 (PS-1) (EC 3.4.23.-) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXW5
Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXW6
Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXX4
High affinity immunoglobulin epsilon receptor subunit gamma (Fc receptor gamma-chain) (FcRgamma) (Fc-epsilon RI-gamma) (IgE Fc receptor subunit gamma) (FceRI gamma)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8SPW1
Homeodomain-interacting protein kinase 4 (EC 2.7.11.1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8WP28
Toll-like receptor 2 (CD antigen CD282)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95M53
Reticulon-4 receptor (Nogo receptor) (NgR) (Nogo-66 receptor)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9N0E3
Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	O77809
Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	O97952
Major prion protein (PrP) (PrP27-30) (PrP33-35C) (CD antigen CD230)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P67992
Ephrin type-A receptor 2 (EC 2.7.10.1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q1KL86
Protein Wnt-7a	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q1KYK9
C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (Fusin) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q28474
Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFV7
Metallothionein-3 (MT-3) (Metallothionein-III) (MT-III)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFZ0
Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (Enhancer of zeste homolog 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R381
Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3Q1
Survival motor neuron protein	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4F8
Heat shock protein HSP 90-alpha (EC 3.6.4.10)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4P1
Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Diacylglycerol lipase) (Lipase A) (Sterol esterase) (Triacylglycerol ester hydrolase) (Triacylglycerol lipase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4S5
5'-3' exonuclease PLD3 (EC 3.1.16.1) ((S,S)-bis(monoacylglycero)phosphate synthase PLD3) (EC 3.1.4.-) (Phospholipase D3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R583
Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5U5
Phosphatidylcholine:ceramide cholinephosphotransferase 2 (EC 2.7.8.27) (Sphingomyelin synthase 2) (Sms2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R763
ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7L5
NAD-capped RNA hydrolase NUDT12 (DeNADding enzyme NUDT12) (EC 3.6.1.-) (NADH pyrophosphatase NUDT12) (EC 3.6.1.22) (Nucleoside diphosphate-linked moiety X motif 12) (Nudix motif 12)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7L8
PRKCA-binding protein (Protein interacting with C kinase 1) (Protein kinase C-alpha-binding protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7Q5
Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Hemin-sensitive initiation factor 2-alpha kinase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8E0
Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (CAP51) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8S6
Synaptotagmin-1 (Synaptotagmin I) (SytI)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HC0
Myocilin (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q863A3
Histone acetyltransferase KAT6B (EC 2.3.1.48) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8WML3
Aldo-keto reductase family 1 member C1 (EC 1.1.1.-) (EC 1.1.1.112) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.357) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (EC 1.3.1.20) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (Dihydrodiol dehydrogenase 1) (DD-1) (DD1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95JH7
Vesicular inhibitory amino acid transporter (GABA and glycine transporter) (Solute carrier family 32 member 1) (Vesicular GABA transporter)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95KE2
CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9BE52
Prostaglandin E synthase 2 (EC 5.3.99.3) (Microsomal prostaglandin E synthase 2) (mPGES-2) [Cleaved into: Prostaglandin E synthase 2 truncated form]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9N0A4
Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	G7PWZ3
Apolipoprotein C-I, basic form (Apo-CIB) (ApoC-IB) (Apolipoprotein C1B) [Cleaved into: Cholesteryl ester transfer inhibitor protein (CETIP); Truncated apolipoprotein C-I, basic form (Apo-CIB') (ApoC-IB')]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P18657
Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P33621
C-C motif chemokine 2 (Monocyte chemoattractant protein 1) (Monocyte chemotactic protein 1) (MCP-1) (Small-inducible cytokine A2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61274
C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CD antigen CD195)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P61814
Disintegrin and metalloproteinase domain-containing protein 2 (ADAM 2) (Fertilin subunit beta) (PH-30) (PH30) (PH30-beta)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q28478
Caspase-3 (CASP-3) (EC 3.4.22.56) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFV2
Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2PFX5
Zinc finger-containing ubiquitin peptidase 1 (EC 3.4.19.12) (Lys-63-specific deubiquitinase ZUFSP) (DUB) (Ubiquitin carboxyl-terminal hydrolase ZUFSP) (EC 3.4.19.12) (Zinc finger with UFM1-specific peptidase domain protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4A2
Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Repressor/activator protein 1 homolog) (RAP1 homolog)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4I0
Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4J1
Ras-related protein Rab-3A (EC 3.6.5.2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4R9
4'-phosphopantetheine phosphatase (EC 3.1.3.-) (Inactive pantothenic acid kinase 4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4U1
Damage-control phosphatase ARMT1 (EC 3.1.3.-) (Acidic residue methyltransferase 1) (Protein-glutamate O-methyltransferase) (EC 2.1.1.-) (Sugar phosphate phosphatase ARMT1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R526
Ubiquitin carboxyl-terminal hydrolase MINDY-3 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-3) (Protein CARP)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R528
Transcription initiation factor TFIID subunit 7	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5A5
Tubulin beta-2A chain	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5B3
Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (snRNP core protein D1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5F6
Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5L1
Cytidine and dCMP deaminase domain-containing protein 1 (EC 3.5.4.5) (Cytidine deaminase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R683
RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6X4
Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (EC 3.5.1.1) (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase alpha chain; Isoaspartyl peptidase/L-asparaginase beta chain]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7U8
Breast cancer anti-estrogen resistance protein 3 homolog	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8R1
Vesicle-associated membrane protein 3 (VAMP-3) (Synaptobrevin-3)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8T0
Bromodomain testis-specific protein	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8Y1
Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q58H57
Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q5FB27
Ribitol-5-phosphate transferase FKTN (EC 2.7.8.-) (Fukutin) (Fukuyama-type congenital muscular dystrophy protein) (Ribitol-5-phosphate transferase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HG0
Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HG6
Prostate-specific antigen (PSA) (EC 3.4.21.77) (Kallikrein-3) (Semenogelase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6DT45
Prostaglandin E synthase 3 (EC 5.3.99.3) (Cytosolic prostaglandin E2 synthase) (cPGES)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6PWL5
Glutaryl-CoA dehydrogenase, mitochondrial (GCD) (EC 1.3.8.6)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXX8
Kv channel-interacting protein 4 (KChIP4) (A-type potassium channel modulatory protein 4) (Potassium channel-interacting protein 4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HYN7
Cilia- and flagella-associated protein 91 (CFAP91) (AMY-1-associating protein expressed in testis 1) (AAT-1) (MYCBP/AMY-1-associated testis-expressed protein 1) (Protein MAATS1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q95LR0
C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9BDS6
Solute carrier organic anion transporter family member 1C1 (Solute carrier family 21 member 14) (Thyroxine transporter)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q9GMU6
Myoglobin (Nitrite reductase MB) (EC 1.7.-.-) (Pseudoperoxidase MB) (EC 1.11.1.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P02150
Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P0C1Z2
Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P18656
Histatin-1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P34084
Tubulin alpha-4A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin alpha-1 chain)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P68367
T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	P79185
Cathelicidin antimicrobial peptide [Cleaved into: Antibacterial peptide FALL-39 (FALL-39 peptide antibiotic); Antibacterial peptide LL-37]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q1KLX7
Cholesterol side-chain cleavage enzyme, mitochondrial (EC 1.14.15.6) (CYPXIA1) (Cholesterol desmolase) (Cytochrome P450 11A1) (Cytochrome P450(scc))	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2XV99
C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (CD antigen CD191)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q2Y2P0
DNA polymerase lambda (Pol Lambda) (EC 2.7.7.7) (EC 4.2.99.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R380
Histone H2A.J (H2a/j)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R3X5
Glycerol kinase 2 (GK 2) (Glycerokinase 2) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerol kinase, testis specific 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4D5
Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R4W5
Sorting nexin-1	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R503
Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R561
Beta-arrestin-1 (Arrestin beta-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R562
Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R591
Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R592
Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5B8
Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5G7
Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5L2
Probable ATP-dependent RNA helicase DDX4 (EC 3.6.4.13) (DEAD box protein 4) (Vasa homolog)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R5S7
Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (PNGase) (EC 3.5.1.52) (N-glycanase 1) (Peptide:N-glycanase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6F3
Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 1 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase I) (Transmembrane protein 55B)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R6W2
Protein Spindly (Coiled-coil domain-containing protein 99) (Spindle apparatus coiled-coil domain-containing protein 1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7H3
E3 ubiquitin-protein ligase BRE1B (BRE1-B) (EC 2.3.2.27) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R7K7
Glycine amidinotransferase, mitochondrial (EC 2.1.4.1) (L-arginine:glycine amidinotransferase) (Transamidinase)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R806
Sigma intracellular receptor 2 (Sigma-2 receptor) (Sigma2 receptor) (Transmembrane protein 97)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R8A8
Kinesin-like protein KIF25	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R918
Dual specificity protein kinase TTK (EC 2.7.12.1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R945
E3 ubiquitin-protein transferase MAEA (EC 2.3.2.27) (Macrophage erythroblast attacher)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q4R9A8
Atlastin-1 (EC 3.6.5.-)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HD2
NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q60HG4
Follitropin subunit beta (Follicle-stimulating hormone beta subunit) (FSH-B) (FSH-beta) (Follitropin beta chain)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6EV79
Bestrophin-1 (Vitelliform macular dystrophy protein 2)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q6UY87
Peroxisome biogenesis factor 10 (EC 2.3.2.27) (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Q8HXW8
